Station_number,Year,Month,Day,min,max,Rainfall,Solar_exposure
85291,1998,6,4,4,9,0.2,7.3
85291,1998,6,5,4,10,0.4,9
85291,1998,6,16,-3,-2,3,4.1
85291,1998,6,21,1,5,2,3.5
85291,1998,6,22,-3,-1,6,3.6
85291,1998,6,23,-3,-1,4,0.3
85291,1998,6,27,-2,4,4,9.2
85291,1998,6,29,-3,-1,0.2,8
85291,1998,6,30,-3,-1,2,4.8
85291,1998,7,3,-2,6,6,9.1
85291,1998,7,5,0,5,4,-
85291,1998,7,6,-1,0,29,5.2
85291,1998,7,7,-2,1,0.2,7.2
85291,1998,7,8,-2,0,1,2.9
85291,1998,7,9,-6,-3,0.2,1
85291,1998,7,12,-3,3,2,8.4
85291,1998,7,13,-3,0,14,5.7
85291,1998,7,15,-3,0,2,8.7
85291,1998,7,17,-3,4,1,8.4
85291,1998,7,22,-2,-1,2,4.8
85291,1998,7,23,-3,1,7,6.6
85291,1998,7,24,-2,7,10,11
85291,1998,7,25,-1,5,-,6.9
85291,1998,7,26,1,3,-,2.8
85291,1998,7,27,0,3,-,2.3
85291,1998,7,28,-3,-2,-,6
85291,1998,7,29,-5.5,-2.9,-,7.5
85291,1998,7,30,-5,-2,-,5
85291,1998,7,31,-4,0,-,2.3
85291,1998,8,1,-3,1,-,5.5
85291,1998,8,3,-2,2,-,5.5
85291,1998,8,4,-1,3,-,4.1
85291,1998,8,5,-3,5,-,12.5
85291,1998,8,6,-2,6,-,11.7
85291,1998,8,7,0,3,-,5.4
85291,1998,8,8,1,3,-,6.9
85291,1998,8,9,-1,9,-,13.1
85291,1998,8,10,-1,5,-,10.5
85291,1998,8,11,-1.5,1.4,-,9.4
85291,1998,8,12,-2,1,-,2.1
85291,1998,8,13,0,5,-,5.3
85291,1998,8,14,0,3,-,3.9
85291,1998,8,15,-4,-1,-,7.4
85291,1998,8,16,-3,-1,-,13.8
85291,1998,8,17,-3,1,-,6.8
85291,1998,8,18,-1,3,-,12.6
85291,1998,8,19,0,8,-,-
85291,1998,8,20,2,7,-,12.4
85291,1998,8,21,3,5,-,2.6
85291,1998,8,22,2,3,-,10.8
85291,1998,8,23,-4,-1,-,10.9
85291,1998,8,24,-3,4,-,15.5
85291,1998,8,25,-3,3,-,11
85291,1998,8,26,0,5,-,16.4
85291,1998,8,27,-1,10,-,17
85291,1998,8,28,4,11,-,17.2
85291,1998,8,29,3,7,-,16.8
